,userId,movieId,rating,timestamp
23635,160,4370,4.0,1065992012
99816,610,4270,3.0,1493845935
37109,249,85780,4.0,1368891309
74536,474,6042,3.0,1069685537
72065,464,653,2.5,1287400499
23896,166,1036,4.0,1190828734
83756,534,7090,4.5,1459795392
36370,248,176371,2.5,1534591786
84890,551,87232,4.0,1504321115
87995,567,101142,2.5,1525290802
100050,610,8641,4.5,1479542753
88812,573,4102,5.0,1250142501
74844,474,7831,3.5,1144111831
52757,346,1221,3.5,1094646958
11853,73,8636,4.0,1464275204
87004,561,80489,3.5,1491095396
97666,606,1801,4.0,1171365227
60038,387,7116,3.5,1137405126
29783,203,296,5.0,1390095442
15900,103,86882,4.5,1477519404
70618,451,141,4.0,854089166
26379,182,1722,3.5,1054782300
1941,18,2918,3.5,1455748728
67461,437,5,2.0,859721015
53202,352,318,5.0,1493931907
67845,438,3745,3.0,1105654695
50264,325,1207,4.0,1039397109
54346,357,2987,3.0,1348610422
30990,217,548,3.0,955941233
81386,514,52435,5.0,1535943947
36889,249,49824,3.5,1354225769
77335,483,953,4.0,1178294254
72831,469,2989,3.0,965334356
52682,345,2722,3.5,1342826760
21926,143,7173,1.0,1444881276
19860,131,541,4.0,1349840347
38551,265,1198,5.0,965314300
92769,599,356,3.5,1498797749
2198,18,98585,3.5,1517686559
74756,474,7121,5.0,1070286605
31730,219,2763,3.5,1195335012
33857,230,34048,4.5,1196305083
30862,216,3863,2.0,974733631
83557,533,46578,3.5,1424753703
37037,249,73431,2.5,1401456257
75659,477,2395,4.5,1200939541
62460,414,368,4.0,961438688
58588,382,588,5.0,1515160916
78304,487,260,4.0,1428574154
10883,68,3438,3.5,1158535803
44464,297,22,2.0,900871989
61481,405,4239,4.0,1299377970
54021,356,6188,3.5,1229141077
44987,298,8784,2.5,1447560624
79190,490,56367,3.5,1324373077
61097,398,4973,5.0,1311207812
93459,599,2598,2.0,1519245043
60837,393,2959,5.0,1430505981
39543,274,1918,3.0,1171172457
71533,461,1961,3.5,1505935246
29202,200,31685,4.0,1229888244
4771,29,356,4.5,1362016780
5142,33,1704,5.0,939646939
85384,555,720,4.0,978840009
72445,468,380,4.0,831400406
9149,62,179819,3.5,1523048605
74890,474,8364,3.5,1110813885
54039,356,7323,5.0,1229139783
